shot_id,shot_made_flag
1,0.648695537
8,0.654185837
17,0.320268536
20,0.262620374
33,0.658151497
34,0.639427109
35,0.533395412
36,0.580747577
37,0.32959639
38,0.656131217
45,0.597862362
50,0.668741728
55,0.711489735
60,0.700448007
66,0.676417964
67,0.694779216
71,0.641684056
80,0.688341039
85,0.688829279
86,0.419162422
95,0.424706839
104,0.654557507
113,0.656967595
123,0.670431364
126,0.248253734
133,0.332536617
141,0.686285392
144,0.647410364
150,0.262620374
152,0.644322215
153,0.276223376
156,0.556554787
159,0.182626584
165,0.269649866
172,0.643081135
182,0.15893477
192,0.646149588
193,0.253050431
196,0.666925603
202,0.664692381
210,0.673644679
211,0.654436295
228,0.099391981
257,0.641227665
260,0.642274861
264,0.644731248
267,0.421793141
279,0.15893477
282,0.648461588
293,0.652906531
299,0.253174909
300,0.418310646
301,0.30581931
317,0.657411728
327,0.656003541
328,0.680858515
335,0.563806055
346,0.297859585
348,0.688285827
365,0.64019767
390,0.284253106
391,0.276223376
392,0.334600021
397,0.676815871
418,0.64222881
428,0.737475379
434,0.401053761
439,0.563806055
440,0.646225349
456,0.653065663
459,0.688372108
472,0.641175407
480,0.66601596
491,0.676828809
497,0.643026947
509,0.648376432
511,0.659291589
523,0.745500596
533,0.641700389
544,0.584506417
546,0.636484371
555,0.276223376
558,0.644687759
560,0.664092178
573,0.664769361
591,0.644820514
596,0.676204773
597,0.650597037
601,0.422030583
605,0.64117043
617,0.665238944
628,0.660533524
634,0.659176687
646,0.686603977
649,0.644901826
651,0.253050431
654,0.288312762
656,0.563806055
657,0.653212351
669,0.648493902
670,0.15893477
693,0.422122518
694,0.682529425
699,0.644872358
711,0.648419045
718,0.658250487
722,0.645637906
723,0.672828257
725,0.39111513
734,0.658346485
735,0.563806055
737,0.32887012
746,0.658913248
747,0.413240962
766,0.685768593
767,0.665794005
771,0.709655965
773,0.694677296
774,0.64344117
783,0.688591448
784,0.654066854
789,0.665216755
792,0.641211692
804,0.657018206
809,0.64629518
812,0.637234399
813,0.652724249
817,0.666548216
820,0.660176823
825,0.654632591
826,0.644965722
829,0.645159473
855,0.637770913
859,0.276223376
862,0.637422621
870,0.651194548
876,0.658533193
880,0.668565018
886,0.104545892
889,0.250152907
891,0.563806055
897,0.104545892
902,0.654446913
903,0.688505344
908,0.659170475
909,0.649277087
920,0.646232836
922,0.641395768
924,0.414022347
932,0.657360795
934,0.662614086
937,0.646140913
941,0.680207668
943,0.658729483
950,0.653958843
952,0.658226324
954,0.15893477
963,0.664329564
975,0.653496542
979,0.650088345
981,0.64763067
983,0.765846203
985,0.516336418
989,0.516195965
995,0.641167591
998,0.584506417
1008,0.68840275
1019,0.341385809
1023,0.645127803
1026,0.663243742
1029,0.418090911
1034,0.204371365
1036,0.422134123
1038,0.657056279
1039,0.413937723
1051,0.558768043
1052,0.675589716
1066,0.649462273
1087,0.686674192
1092,0.758451719
1094,0.236030796
1098,0.64130259
1099,0.646120486
1102,0.655768197
1118,0.645875054
1131,0.688483728
1133,0.253050431
1135,0.142976531
1138,0.563806055
1139,0.269649866
1142,0.637744655
1151,0.587590962
1152,0.651050305
1155,0.358050906
1165,0.663587263
1167,0.109205771
1172,0.597591435
1174,0.297132681
1180,0.563806055
1200,0.642688143
1202,0.652060165
1227,0.424504381
1228,0.356987431
1229,0.657211456
1237,0.563806055
1241,0.647509225
1256,0.697683795
1279,0.641154979
1293,0.643564821
1295,0.656371861
1319,0.253050431
1320,0.639787089
1321,0.303146221
1322,0.386577916
1334,0.709185122
1351,0.306122501
1373,0.647493536
1375,0.642617421
1380,0.516315502
1382,0.296895533
1385,0.558768043
1399,0.666080204
1403,0.15893477
1428,0.669125297
1434,0.658400912
1444,0.142919271
1448,0.645836017
1466,0.247346136
1476,0.639608165
1478,0.641688872
1485,0.645705746
1491,0.29452427
1494,0.405891628
1500,0.563806055
1501,0.42492181
1503,0.642883007
1519,0.332536617
1524,0.653128521
1529,0.303500378
1533,0.306122501
1538,0.104545892
1539,0.640241198
1546,0.563806055
1555,0.64309766
1559,0.664411689
1563,0.423586652
1565,0.262620374
1574,0.667511271
1591,0.663914085
1594,0.697423871
1605,0.688267329
1611,0.641349168
1614,0.64350362
1620,0.636282802
1626,0.693315726
1630,0.641347459
1632,0.645085178
1634,0.676247062
1643,0.656852255
1651,0.641304623
1655,0.654590492
1658,0.694867439
1659,0.644002595
1665,0.65482043
1675,0.653076685
1680,0.269649866
1690,0.646598271
1696,0.696367312
1714,0.695845159
1721,0.651345819
1726,0.653661804
1728,0.650239658
1734,0.648506675
1735,0.661326937
1740,0.653298007
1744,0.248198728
1747,0.660258188
1752,0.659636818
1763,0.262620374
1765,0.276223376
1769,0.651618081
1785,0.405580042
1787,0.658033139
1788,0.563806055
1793,0.664400682
1800,0.642996893
1825,0.639574625
1826,0.276223376
1834,0.66914545
1843,0.644848228
1844,0.652411486
1848,0.658637903
1849,0.563806055
1860,0.563806055
1863,0.563806055
1875,0.412374033
1883,0.641399792
1890,0.654182814
1892,0.644900551
1893,0.644731248
1897,0.656739542
1905,0.651526096
1908,0.366513751
1931,0.688195644
1940,0.269649866
1943,0.64329691
1947,0.726983989
1965,0.391651896
1967,0.641332973
1968,0.641577984
1972,0.276223376
1982,0.670313655
1985,0.659743452
2005,0.206057949
2010,0.244335444
2021,0.644898225
2024,0.299956724
2036,0.641646425
2043,0.405424966
2047,0.448830521
2049,0.651468992
2055,0.654322208
2065,0.641201857
2066,0.640690896
2070,0.686405196
2077,0.182626584
2085,0.308276569
2095,0.42660529
2097,0.332536617
2108,0.563806055
2112,0.385999514
2113,0.33873201
2122,0.750287442
2139,0.643011957
2144,0.429509241
2146,0.686827561
2148,0.76611196
2149,0.306122501
2157,0.638033296
2159,0.648620795
2168,0.646803231
2176,0.584506417
2178,0.332536617
2181,0.695235694
2187,0.323902165
2188,0.680690851
2190,0.672348122
2194,0.563806055
2197,0.688312231
2214,0.68886155
2217,0.787697556
